ID,Z_HAI,Z_LU,Z_DR,Z_LI,Z_GT,Z_DAV,Z_I,Z_LP,Z_NL,Z_CC,Z_LA,Z_DMR,Z_1960C,FAC_1,FAC_2,FAC_3,FAC_4
9330149.05,-0.229793,-1.077008,-1.072209,1.997458,0.09783,1.635425,2.176866,-0.172649,2.526191,-1.777771,-1.013732,-0.976913,-0.798062,-0.41252,2.72158,-1.55273,-0.01992
9330149.06,0.445237,-0.341413,-1.121963,0.869537,-1.032221,0.968573,2.066202,-0.220906,1.735961,-1.52276,-0.950296,-1.441799,-0.984377,-0.90432,2.32723,-1.51585,-0.45382
9330149.07,0.235013,1.146652,-0.898168,1.163777,-0.123749,1.370481,1.290188,-0.157568,0.805007,-1.063287,-0.926234,-0.331418,-0.337177,0.06342,1.47835,-1.174,0.37917
9330149.08,-0.345445,-0.474766,-0.853923,0.746936,-0.367485,-0.192706,0.25478,0.541924,0.792236,-0.010056,-0.335995,1.71138,-0.984377,0.40553,0.0935,-0.13538,-0.01342
9330149.09,-0.393243,0.737138,0.011802,0.746936,0.164304,0.262863,1.489643,-0.111317,1.302352,-1.361025,-0.058175,1.407196,-0.697069,0.35517,1.34541,-0.16151,0.19528
9330150,0.074012,0.121924,-1.623646,-1.325007,-0.566906,-0.048289,-1.560615,-0.00375,-0.975957,1.000647,0.345614,2.160314,4.633987,0.66889,-2.16933,0.57749,2.78006
9330151.03,0.358693,-0.206604,-0.829315,-0.675226,-0.345327,0.171471,-0.401546,-0.248362,0.809758,0.370149,-1.287164,-0.234655,-0.600102,0.12206,-0.20214,-1.20758,-0.10167
9330151.05,-0.294578,-0.139894,-0.451047,-0.270645,0.673935,-0.266019,0.174043,-0.067087,0.485627,-0.21624,-0.735087,0.368613,-0.642799,0.45885,0.03252,-0.58191,-0.32847
9330151.06,-0.13646,-0.476767,-0.785607,0.023595,0.075672,-0.060583,0.122108,0.014406,1.259867,0.102915,-1.121454,-0.815337,-0.741677,0.23493,0.30997,-1.20903,-0.51374
9330151.07,-1.311541,-0.866701,0.334517,3.06408,0.385882,-0.660694,1.374913,0.685691,1.883831,-1.929009,0.072504,-0.734439,-0.485319,0.10453,2.2028,0.12464,-0.85277
9330151.08,-0.351489,-0.566932,-0.709257,0.624336,0.09783,-0.051541,0.03953,0.087887,1.674143,-0.146516,-1.276485,0.998525,-0.820923,0.64959,0.31366,-0.92958,0.03811
9330160.01,1.296054,-0.73287,-1.376062,-1.092066,-0.766327,0.338974,-1.316611,-1.949196,-1.020722,1.365856,-0.812408,-0.303963,-0.801389,-1.04112,-1.09532,-0.85028,-0.32015
9330160.02,0.250884,-1.044699,-0.450693,-0.993986,-0.145906,0.035654,-1.25956,-0.596816,-1.018343,1.278778,0.225051,-0.513452,-0.344944,-0.57488,-1.20518,0.08131,-0.42484
9330160.03,0.701679,-1.513934,-0.779531,-1.410827,-0.367485,0.104297,-1.328866,-1.208495,-1.051628,1.055801,0.298552,-0.56294,-0.593773,-1.11211,-1.11565,-0.051,-0.56284
9330160.04,0.187432,-2.089375,-0.344077,-1.349527,-0.190222,-0.359997,-0.861147,-0.796841,-1.018713,1.302271,0.546239,0.224172,-0.5643,-0.90079,-1.22382,0.48951,-0.58552
9330161.01,0.415728,0.024234,-0.423817,-0.601666,-0.145906,0.208,-1.227417,-0.914633,-0.261453,1.078684,-0.46433,1.567787,0.545767,0.2752,-1.22547,-0.09424,0.93304
9330161.02,-0.172789,-0.774209,0.184304,-0.761046,0.09783,-0.368808,-1.138113,-0.08713,-0.922749,0.904649,0.664832,0.027987,-0.493036,-0.24527,-1.10048,0.63066,-0.51844
9330161.03,0.183681,-0.996954,-0.739125,-1.190146,-0.256696,-0.360677,-1.14447,-0.587056,-0.886213,1.075718,0.181085,-1.14161,-0.767525,-0.69772,-1.04509,-0.1575,-1.01302
9330161.05,0.351036,-0.24229,-0.581188,-0.797826,-0.433959,-0.279895,-1.187754,0.249599,-0.872219,1.108326,-0.262396,1.279246,-0.614548,0.17335,-1.40379,0.11149,0.03172
9330161.06,0.554534,0.536139,-1.353944,-1.349527,-0.168064,-0.212243,-1.451551,-1.371087,-1.010807,1.370115,-0.231245,-1.029456,-0.807699,-0.34343,-1.3326,-0.75651,-0.82608
9330162.01,0.624588,-0.366707,-1.01777,-1.153366,-0.8328,-0.351743,-0.47331,-0.49272,-0.434945,0.667215,-0.830853,-0.918899,-0.917728,-0.59752,-0.53631,-0.84612,-0.83818
9330162.02,0.550505,0.095,-0.815741,-1.043026,-0.345327,-0.409993,-0.750128,-1.124952,-0.277293,0.672798,-1.097201,-0.40463,-0.753234,-0.24643,-0.6661,-0.9216,-0.58818
9330162.03,-0.260233,-0.537888,-0.022138,-0.626186,0.673935,-0.63283,0.091148,-0.700458,0.817605,-0.031269,-0.346502,-0.728287,-0.624276,0.03372,0.1289,-0.54589,-0.80719
9330162.04,0.878674,0.235219,-1.390434,-0.662966,-0.788485,-0.113439,-1.142597,-1.495295,-0.640268,1.133166,-1.004734,-0.558587,-0.676146,-0.51139,-0.89278,-1.00647,-0.46507
9330163.01,0.305997,-1.615026,-1.17371,-0.662966,-0.810643,-0.423295,-0.322555,-0.901175,-0.257397,0.690478,-0.846027,0.752683,-0.649368,-0.6721,-0.5854,-0.40836,-0.36927
9330163.04,0.586896,-0.372537,-1.165757,-0.834606,-0.52259,-0.40919,-1.018821,-0.876395,-0.655258,1.007426,-0.827155,0.454779,-0.041157,-0.20163,-1.12838,-0.51315,-0.02785
9330163.05,-0.225206,0.484203,-0.19308,-0.466805,0.806882,-0.687015,0.048839,-0.054949,0.170961,-0.120084,-0.429717,0.63745,-0.40228,0.6814,-0.26071,-0.27904,-0.27434
9330163.06,-0.116963,0.430269,0.473175,-0.111265,0.452356,-0.572596,0.450929,0.437054,0.280606,-0.072425,-0.286537,0.525523,-0.530807,0.56606,0.05087,-0.02379,-0.23185
9330163.07,-0.146224,0.609753,-0.446786,-0.613926,0.585303,-0.733504,-0.138716,0.02272,-0.181266,0.443297,-0.616567,0.795701,-0.485858,0.75659,-0.68324,-0.34329,-0.26619
9330163.08,0.002811,1.734994,-0.541351,-0.491325,0.252935,-0.606374,-0.392553,-0.348735,-0.19698,0.478984,-0.797121,-0.080405,0.420971,0.80828,-0.65058,-0.65025,0.0447
