ID,Z_HAI,Z_DR,Z_LI,Z_GT,Z_DAV,Z_LP,Z_NL,Z_LA,Z_DMR,Z_DM,Z_1960C,FAC_1,FAC_2,FAC_3
59150131,-1.483515,-0.886243,-0.282582,-0.230586,-0.026171,-0.087105,-0.44601,-0.49928,0,0,0.232448,,,
59150132,-1.483506,0,-1.31677,-0.261408,-0.026121,-1.121912,-0.705689,-0.815652,0,0,-0.906369,,,
59150133,1.345769,0,-0.769258,-0.400104,-0.026121,-0.954243,-0.639116,-0.427217,0,0,0.89918,,,
59150134,-1.483492,0,-1.238554,-0.908658,-0.026121,-0.685972,-0.54308,-0.180687,0,0,0.764705,,,
59150135,-1.483506,-0.76513,-1.125575,-1.216873,-0.021842,-0.43938,0,0.134871,0,0,1.69907,,,
59150136,-1.483521,-0.672543,-0.543301,-0.446336,-0.022041,-0.187755,-0.581646,-0.239854,0,0,0.240447,,,
59150137,1.363179,0.049634,-0.612827,-0.338461,-0.023037,-0.060007,-0.647384,0.679926,0,0,0.022005,,,
59150140,-1.483518,0.372882,-0.065315,-0.769962,-0.023285,-0.187755,-0.674832,0.679926,0.075803,0,-0.678895,-0.77924,0.33142,0.16735
59150141,0.531217,-0.291487,-0.751877,-0.184354,-0.024131,0.476535,-0.41187,1.134139,-1.021048,0,-1.050334,-0.48189,-0.07462,-1.21197
59150142,0.860092,0.501056,0.073735,0.462897,-0.02229,0.089033,-0.43956,-0.853042,0,0,0.640383,,,
59150143,0.682776,-0.154057,-0.299963,-0.215175,-0.022838,0.304312,-0.527662,-0.310115,0,0,0.09647,,,
59150145,-1.483515,-0.981042,-0.604136,-0.831605,-0.022539,-0.556805,-0.55237,-0.561048,0,0,0.004893,,,
59150146,-1.483515,-1.223434,-0.673661,-0.631265,-0.022041,-0.087105,-0.264053,-0.853042,0,0,0,,,
59150147,0.810941,-0.195994,-0.343416,-0.153532,-0.022539,0.011532,-0.493606,-0.066904,0,0,-0.351458,,,
59150148,0.867928,-0.376844,-0.412942,-0.400104,-0.023086,-0.104719,-0.314082,1.594328,-0.388884,0,0.980328,-0.62474,-0.16341,0.10563
59150152,-0.149528,1.541531,1.46424,0.3242,-0.023833,2.195023,-0.500454,0.7438,0.178246,0,-0.855378,0.71037,1.02465,0.09225
59150153,0.517939,0.371251,0.464815,0.817343,-0.022887,0.036667,-0.522076,1.446411,0,0,-0.060609,,,
59150157,-1.483512,-0.816053,0,-0.769962,-0.02229,-0.879723,-0.645806,-0.801943,0.773484,0,0,,,
59150158,1.173239,0,0.986254,-0.215175,-0.021942,-0.43938,-0.676793,-0.561048,0,0,-0.855378,,,
59150159,-1.483521,-1.009559,-0.856165,-0.292229,-0.022439,-0.395345,-0.607018,-0.702751,0,0,0.029992,,,
59150160,-1.483515,-0.371032,-0.725805,-0.754551,-0.022439,-0.430788,-0.695822,-0.49928,0,0,0.542833,,,
59150161,1.306675,-1.223434,-0.899618,-0.446336,-0.022439,-0.591715,0,-0.989305,0,0,-0.172654,,,
59150162,-1.483518,-1.165941,-0.621517,-0.785372,-0.022091,-0.918473,0,-0.801943,0,0,-0.886082,,,
59150163,-1.483512,-1.129629,-1.282007,-1.001123,-0.02234,-0.395345,0,-0.239854,0,0,-0.078871,,,
59150164,-1.483521,-0.341667,-0.664971,-0.32305,-0.022439,-0.032062,-0.678684,-0.49928,0,0,-0.503229,,,
59150165,-1.483515,-1.061407,-1.151647,-0.708319,-0.02234,-0.245021,-0.662633,-0.310115,0,0,-1.077887,,,
59150166,-1.483512,0,-1.073431,-0.600444,-0.02239,-0.624787,0,0,0,0,-0.78059,,,
59150167,-1.483512,0,-1.308079,-0.95489,-0.022937,-0.507125,0,1.044919,0,0,0,,,
59150174,-1.483504,0,-1.282007,-1.247694,-0.022639,-0.837603,0,-0.342052,0,0,0.980328,,,
59150175,-1.483521,0,0,0.031396,-0.022589,-0.556805,-0.647384,-0.989305,0,0,1.483447,,,
59150176,0.761732,-0.22361,0.734225,-0.831605,-0.023882,1.21075,-0.695164,0,0,0,0,,,
