FAC_1,FAC_2,FAC_3,SoRI
-1.24305,1.39373,0.48502,0.390708
-0.36406,0.73414,0.89924,0.117594
-0.4917,1.46186,1.96407,0.125999
-0.96127,1.09841,0.52601,0.313572
-0.09846,1.53784,1.35415,-0.173221
-0.52923,0.80752,1.32261,0.235858
-0.97,0.96013,1.25972,0.431974
-1.04857,1.92115,1.00409,0.212907
0.16569,0.51522,1.07826,-0.098194
-0.65627,1.96651,0.6517,-0.050274
-0.9018,0.93517,-0.60096,0.198082
-0.82128,1.4204,-1.01386,-0.008945
-0.42852,0.89244,-0.30973,-0.017612
-1.12749,3.18227,-0.16879,-0.179024
-1.05019,2.3612,-0.23162,-0.028055
-0.00558,0.08348,-0.06229,-0.024077
-0.59268,1.80865,0.05132,-0.11192
-1.58687,2.09894,-0.34467,0.315866
-1.0453,1.48583,-0.03616,0.203738
-0.85374,2.40295,-0.20772,-0.142642
-1.28452,1.57782,-0.15464,0.298752
-0.86223,1.49524,-0.35399,0.067067
-1.03829,2.11747,-0.60702,-0.016109
-0.3744,0.10015,-0.09281,0.16947
-0.71237,-0.25168,-0.71945,0.370963
-1.15683,1.72093,-0.57373,0.148658
-1.18088,1.15649,-0.54344,0.302503
-1.48816,1.76889,0.23055,0.405155
-1.39931,1.2446,-1.09509,0.339919
-0.98836,1.46734,-0.00866,0.180217
-0.79706,0.82,0.04048,0.238981
-0.00722,1.6979,1.43076,-0.253552
-1.30263,2.34353,0.44352,0.187367
-1.33226,2.97057,-0.62889,-0.066068
-0.29823,2.30297,0.12558,-0.384609
-0.75642,1.65851,0.35225,0.046646
-0.90935,1.66444,-0.52464,0.032937
-0.61227,1.92244,-0.16324,-0.152343
-0.61975,2.23065,1.14129,-0.081123
-0.93367,1.832,-0.39932,0.019046
-1.28444,0.89341,-0.24015,0.456041
-0.0885,0.1338,0.09376,0.025854
0.1662,0.74556,0.05415,-0.266187
-0.72497,-0.14125,-0.64504,0.359049
-1.50238,2.23631,-0.6098,0.207487
-0.81231,1.33735,-0.64172,0.046954
-0.94517,3.18712,0.27597,-0.231054
-0.22072,0.73738,0.78048,0.025769
-0.19669,1.40592,0.77641,-0.150556
-0.65428,2.94129,1.29736,-0.21834
-0.66279,0.12718,6.0053,0.984697
-0.89373,1.06347,0.88668,0.324597
-0.37286,0.56579,2.11169,0.295538
0.58002,-0.64068,4.47003,0.327244
-0.00455,-0.65873,3.25462,0.517633
-0.46194,-1.29221,4.87163,1.097326
-0.46351,0.29361,3.59617,0.573009
-0.50284,-0.52213,3.70557,0.804993
-0.82208,-0.26405,3.62721,0.907531
-0.28012,0.30774,3.28824,0.436093
0.75041,-0.68616,2.19841,-0.002117
-0.45099,-0.51632,0.05681,0.377616
-1.31365,1.37085,0.41396,0.426996
