ID,Z_HAI,Z_DR,Z_LI,Z_GT,Z_DAV,Z_LP,Z_NL,Z_LA,Z_DMR,Z_1960C,FAC_1,FAC_2,FAC_3
59152223,0.606119,-1.166167,-0.456912,2.260139,-0.024088,-1.284967,1.824994,-0.798237,-0.581688,0.375362,1.39923,-1.67326,0.61778
59152224,0.463156,-0.116652,0.352654,0.296481,-0.024088,0.577594,0.834840,-0.324314,-0.581688,0.075512,0.83545,-0.45212,0.15703
59152225,0.360580,0.169579,1.042915,1.529475,-0.023735,-0.483358,1.270513,-1.272161,-0.581688,0.075512,1.60331,-0.98691,0.53295
59152226,-1.453520,-0.356823,-0.891521,-0.860403,-0.023887,0.337617,-0.408331,-0.640263,-0.581688,0.452983,-0.93679,-0.37830,0.41263
59152227,0.737033,-0.108916,-0.431347,0.311703,-0.024038,-0.119306,-0.079962,-0.238146,-0.581688,2.069452,-0.00320,-0.16261,1.29077
59152228,0.728605,0.739595,-0.865955,0.966256,-0.023836,-0.725330,0.459478,-0.834693,-0.581688,0.362043,0.55801,-0.66379,0.41525
59152229,0.479531,-0.010399,-0.738129,0.372591,-0.023483,-0.318321,1.685043,-0.937627,-0.581688,-0.836707,0.96992,-1.31546,-0.07934
59152230,0.247313,0.137776,1.520132,1.696919,-0.023735,0.769155,0.660025,-1.272161,-0.581688,-0.836707,1.80026,-0.68219,-0.47223
59152231,0.380292,0.603470,1.528654,1.651253,-0.023937,0.055155,1.227188,-1.272161,0.409962,-0.836707,1.91920,-0.52070,-0.06733
59152232,0.489882,0.208259,1.579784,0.996700,-0.023987,-0.343759,0.990706,-0.834693,-0.581688,-0.836707,1.50448,-0.71482,-0.22268
59152233,0.306534,1.040505,0.753176,2.229695,-0.023584,-0.640537,2.820215,-0.937627,-0.581688,-0.836707,2.50873,-1.14351,0.39675
59152234,0.912604,0.463761,-0.925608,1.666475,-0.023887,-0.962752,2.453902,-0.937627,-0.581688,-0.836707,1.74280,-1.53629,0.11421
59152235,0.657421,0.137776,-0.891521,1.179366,-0.023533,-0.119306,1.830128,-1.272161,-0.581688,-0.836707,1.42311,-1.47038,-0.11501
59152236,0.833473,-0.383801,-0.363173,0.905367,-0.023887,0.248333,1.249195,-0.755153,-0.581688,-0.836707,1.19309,-1.13011,-0.45784
59152237,1.286059,-0.590898,-0.746651,0.235592,-0.023634,-0.292196,1.429144,-0.798237,-0.581688,-0.836707,0.92841,-1.41362,-0.37247
59152238,0.912774,0.264990,-0.107520,0.463924,-0.023735,-0.439152,1.665535,-0.755153,-0.581688,-0.836707,1.23706,-1.09728,-0.09965
59152239,0.499781,0.789747,0.548654,1.027144,-0.023533,-1.423059,2.751340,-1.272161,-0.581688,-0.836707,1.93123,-1.49599,0.56865
