ID,Z_HAI,Z_LU,Z_DR,Z_LI,Z_GT,Z_DAV,Z_I,Z_LP,Z_NL,Z_LA,Z_DMR,Z_1960C,FAC_1,FAC_2,FAC_3
59153052,1.679515,-0.363497,-1.243168,-0.494838,-0.952499,-0.013745,0.118562,-0.068352,-0.328193,-0.99695,-1.024909,-0.215706,-0.51225,-1.27923,0.1123
59153053,-2.227249,-1.270481,0.79345,-1.484807,-1.721158,-1.964099,-0.941087,5.427325,-0.811144,0,-1.024909,-0.968964,-1.33415,1.11871,-2.54169
59153054,-0.12729,-0.274076,-0.278454,-0.622334,0.163887,-0.267848,-0.941087,-0.738878,0.192197,-0.99695,-0.202964,-0.968964,-0.24431,-0.98562,-0.71306
59153055,0.378698,-0.178741,-0.690865,-0.697332,-0.732882,-0.143111,-0.528317,0.375743,0.223551,-0.384229,0.298561,-0.662554,-0.48147,-0.48473,-0.3143
59153057,-1.049819,0.616045,-0.814406,2.640064,0.731231,0.379928,1.614787,-0.517999,2.120598,-0.99695,-1.024909,-0.968964,2.38693,-1.57168,-0.32039
59153058,0.002994,-1.270481,-0.586194,-0.262345,-0.348553,-0.209285,-0.177684,-0.401424,-0.463211,0.432732,0.43918,-0.404021,-0.84948,0.09903,-0.43111
59153059,-0.221437,0.301624,-0.204892,-0.172348,0.255394,-0.289331,-0.323726,0.578866,-0.509674,-0.99695,0.176395,-0.012906,0.00101,-0.22282,-0.2492
59153060,-0.230772,-0.091402,1.059096,-0.659833,-0.879293,-0.269914,-0.700421,-0.551843,-0.811144,0.841213,0.304193,0.210049,-1.03665,1.04059,-0.04438
59153061,-0.542949,-0.576905,-0.72318,-1.139818,-1.007403,-1.164181,-0.288246,0.45047,-0.811144,1.862415,-0.360358,-0.772462,-1.51867,0.60423,-1.41823
59153062,0.346259,-0.525799,-0.224859,-0.779829,-0.568169,0.060865,-0.562439,-0.255705,-0.593978,0.432732,0.648335,0.696133,-0.93167,0.52429,0.43122
59153063,0.281616,-1.270481,-1.010412,-1.049821,-0.9708,-0.004551,-0.668024,-1.567173,-0.033314,1.147573,0.313686,0.838855,-1.28829,0.18648,0.40571
59153064,0.180542,-1.270481,-0.488865,-0.644833,-0.147237,-0.178375,-0.941087,-0.198685,-0.204436,-0.043829,0.648335,0.64516,-0.81281,0.16681,0.19629
59153065,0.145989,0.543486,-0.917309,-1.169817,0.20049,0.167015,-0.941087,-1.567173,-0.361731,-0.99695,-1.024909,0.29651,-0.35487,-1.26131,0.07158
59153066,-0.153476,-1.270481,-0.259973,-0.059852,-0.092333,0.012702,-0.433969,0.111506,-0.430465,-0.99695,0.590637,1.057041,-0.34667,0.09202,0.45855
59153067,-1.058537,1.857687,1.811759,1.725092,1.335177,-1.017934,5.134576,1.002234,0.977866,0.228492,1.85822,-0.545257,2.77302,1.05572,-0.35364
59153069,-0.353981,0.635101,-0.253954,0.442633,-0.000826,-0.270406,1.033147,-0.01284,-0.122681,0.024251,-0.132512,-0.000489,0.42935,-0.03535,-0.17013
59153070,0.790981,-1.270481,-0.941447,0.112643,-0.494964,0.486609,-0.941087,-0.48182,0.22155,-0.384229,1.288713,-0.634183,-0.63433,-0.37129,0.2062
59153071,1.588451,0.32827,-0.45115,-0.254846,-0.860992,0.156443,-0.941087,-1.567173,0.165167,-0.337097,-1.024909,-0.968964,-0.53364,-1.20023,-0.01808
59153072,-0.363874,-0.484428,0.318239,0.84012,0.3286,-0.44393,0.946162,0.441885,-0.299154,0.611442,-0.504344,-0.366358,0.21166,0.35693,-0.61089
59153073,-0.643055,0.301624,0.374967,0.20264,-0.366854,-0.117261,0.005533,0.224101,0.698884,1.362026,-0.169186,-0.349848,0.08158,0.55988,-0.32335
59153074,-1.011097,1.157034,-0.835844,0.922617,0.20049,-1.034965,0.576395,-0.024269,-0.317133,1.526019,0.927209,-0.968964,0.06793,0.6933,-1.12006
59153075,-0.043184,-0.147549,-0.687727,-0.344843,-0.257045,0.121644,1.575245,-0.068352,3.694365,0.432732,-1.024909,0.058206,1.59993,-1.32993,0.27681
