ID,Z_HAI,Z_LU,Z_DR,Z_LI,Z_GT,Z_DAV,Z_I,Z_LP,Z_NL,Z_LA,Z_DMR,Z_1960C,FAC_1,FAC_2,FAC_3,FAC_4
59150635,-0.459342,-1.270481,0.79345,-0.224847,-1.281924,-0.743776,0.324197,-0.356587,-0.811144,2.434288,-0.551668,-0.832008,-1.48605,2.134,-0.8565,-1.10091
59150636,-0.294975,-0.673479,2.216293,-0.097351,-1.428336,-0.007587,-0.020762,-0.790007,-0.811144,1.045453,0.276503,-0.164113,-1.06937,1.96199,0.17869,-0.44461
59150637,0.280736,0.516002,1.404436,0.240139,-0.934198,0.341399,-0.941087,-1.567173,-0.484298,1.415639,-0.244062,-0.667661,-0.81406,1.44437,0.19784,-0.79765
59150638,-0.440319,0.790045,2.3272,-0.247346,-0.714581,0.39067,0.065163,0.950846,-0.811144,0.432732,-1.024909,2.657835,-0.08306,1.62103,1.51799,0.55137
59150639,-0.768936,-1.270481,-0.564295,0.390134,-0.787786,-0.884451,-0.941087,0.681058,-0.811144,2.066655,1.921685,2.015644,-1.53853,1.24198,0.51487,2.0577
59150640,-0.692256,-0.428282,2.751737,-0.562336,-0.476662,-1.964099,-0.552065,-0.068352,-0.811144,3.292097,0.176395,0.943153,-1.60132,2.97722,-0.40008,0.68885
59150641,-0.785581,1.022172,2.195278,0.247639,-0.824389,-0.959853,-0.415187,1.580351,-0.511535,1.862415,-0.619274,1.437549,-0.49512,2.1325,0.2459,0.88507
59150642,-0.635863,-0.541154,2.478061,0.030145,-0.989102,-0.332313,-0.225156,-1.567173,-0.811144,0.432732,1.095911,0.649146,-0.86586,1.73289,0.49096,0.24463
59150643,-0.544916,-0.428282,1.687575,0.030145,-0.531567,-0.345692,-0.318311,-0.517999,-0.527304,2.317313,0.117794,-0.466792,-1.04048,2.06584,-0.34318,-0.21025
59150644,-0.656207,0.434211,1.811759,-0.11235,-0.604772,-0.759913,-0.193755,-0.401424,-0.385384,1.862415,0.927209,0.232435,-0.77971,1.88057,-0.03292,0.54376
59150645,-0.660434,-1.270481,2.259815,-0.022353,-0.824389,0.506627,-0.143374,-0.33285,-0.447574,0.228492,3.035497,1.110028,-0.80248,1.35639,1.19827,1.77716
59150646,-0.866957,-0.525799,2.184312,0.502631,-1.09891,-0.929161,-0.577002,-0.692861,-0.811144,1.576478,-0.263107,0.353831,-1.07272,2.22774,-0.20783,-0.16193
59150647,0.13046,0.390193,0.682362,-0.847327,-1.464939,-0.337133,-0.645268,-0.692861,-0.811144,1.147573,0.394813,-0.393749,-1.35036,1.01773,-0.11055,-0.12059
59150648,0,0.077038,1.774044,0,0,0,0.073149,-1.567173,-0.811144,-0.99695,0.131902,-0.161902,-0.0746,0.42449,0.13893,-0.40114
59150649,-0.408379,1.945188,2.08948,-0.472339,-0.897595,-0.978973,0.729419,-0.33285,-0.811144,-0.99695,0.43918,0.443395,0.10465,0.7544,0.08642,0.23849
59150650,0.046647,0.50926,-0.269133,-0.76483,-1.025705,-0.456433,-0.075276,-0.401424,-0.416537,0.432732,-0.360358,-0.772462,-0.71412,0.21809,-0.5753,-0.65686
59150651,0.317637,-0.091402,0.93554,-0.982323,-1.22702,-0.45049,-0.310007,2.77424,-0.811144,3.292097,0.064645,-0.443435,-1.7221,2.01018,-0.43761,0.77417
59150652,-0.608091,-1.270481,0.666162,0.480131,-0.806088,-0.587088,0.185842,0.400029,-0.554336,1.385854,0.683195,-0.412712,-0.94289,1.43876,-0.51738,0.14864
59150653,-0.416569,0.039607,1.001268,0.84012,-1.007403,-0.173457,-0.373115,1.370516,-0.487567,3.292097,2.723158,0.2301,-1.24281,2.41426,0.41023,1.90622
59150654,0.028945,0.039607,0.866187,-0.839827,-0.586471,0.874699,0.272528,1.294212,-0.392725,-0.043829,0.369461,0.696133,-0.26608,0.36335,0.79181,0.68779
59150655,-0.335223,-0.110731,1.33986,0.142642,0.108983,0.251438,-0.941087,0.853999,-0.283572,0.909293,-0.263107,1.566393,-0.30616,0.92706,0.81037,1.04615
59150656,-0.304486,1.193265,1.941362,0.097643,-1.629651,-0.16205,0.703043,-0.068352,-0.811144,3.292097,-0.173076,2.482328,-0.79516,3.46328,1.55318,-0.04669
59150657,7.952002,2.045677,-0.512074,-0.059852,-1.464939,5.323254,-0.941087,-0.443058,-0.505882,1.147573,0.576829,2.27584,-0.34489,0.35178,6.09224,-0.7035
59150658,-0.037401,-0.105959,-0.40043,-0.644833,-0.952499,0.165805,-0.407279,0.340417,-0.811144,0.516831,1.129153,1.52458,-0.97701,0.34846,0.91297,1.15895
59150659,0.802606,-0.566553,0.238009,-0.329843,-0.732882,1.894755,-0.941087,-0.295446,0.140554,-0.492357,1.814536,1.393527,-0.36461,-0.26261,2.07466,1.20167
59150660,3.956816,0.996978,-0.255717,0.405134,-1.410034,4.549787,0.784062,-0.068352,0.237487,-0.492357,-1.024909,2.279462,0.91381,0.21627,4.51646,-1.56031
59150661,2.477395,0.762413,-0.988591,-0.464839,-0.842691,3.165859,-0.682918,-0.583572,0.218421,-0.63953,-0.04885,1.99699,0.20957,-0.77576,3.21678,-0.19351
59150662,6.318929,2.241668,-0.941447,-1.102319,-1.318527,3.785678,-0.651305,-1.567173,-0.811144,-0.99695,-1.024909,2.713631,-0.06759,-0.82544,4.89566,-1.39183
59150663,-2.227249,-0.363497,-0.962255,-1.484807,-1.666254,5.724111,-0.487918,-0.790007,-0.466913,-0.139141,0.052122,3.083045,-0.32188,-0.03436,3.61095,0.30352
59150664,2.345232,0.144414,-1.243168,-1.139818,-0.897595,3.858296,-0.941087,0.072162,-0.511535,-0.46082,-1.024909,3.018873,-0.27937,-0.74938,3.69053,-0.10129
59150665,5.041304,-0.38061,-0.734014,-0.089851,-1.373431,3.309746,-0.105834,-0.120036,-0.811144,-0.217124,0.43918,1.432046,-0.59271,-0.06864,3.6907,-0.68753
59150666,-2.227249,-0.147549,-1.243168,-1.177317,-1.35513,4.704258,-0.355549,-0.692861,-0.477559,-0.282109,0.131902,3.383194,-0.16709,-0.16531,3.27656,0.56538
59150667,0.796001,-1.270481,-0.488865,1.140111,-0.934198,2.363349,1.337813,-0.198685,0.569979,-0.99695,-1.024909,1.709287,0.97156,0.18986,2.22818,-1.45815
59150668,-2.227249,-1.270481,-1.053715,-0.584835,-1.35513,1.312011,-0.373115,-0.867724,0.483166,-0.261685,-0.298539,0.1872,-0.38617,-0.31652,0.07602,-0.52663
59150669,0.834429,-1.270481,0.484872,-0.547336,-1.007403,0.39433,0.390097,-0.33285,-0.811144,1.79093,1.341295,-0.038469,-1.38587,1.50174,0.57354,-0.02377
59150670,0.509658,-1.270481,-0.524362,0.495131,0.090681,2.075872,-0.410272,-0.551843,-0.206326,-0.607037,0.812379,2.088378,0.0432,-0.29298,2.17327,0.65238
59150671,-2.227249,-1.270481,-0.524362,-1.484807,-1.721158,-1.964099,-0.941087,0.046942,-0.092083,0.718669,0.710307,2.487162,-1.56199,0.43986,-0.22077,1.49257
59150672,0.71577,-1.270481,-0.639726,1.15511,-0.641375,1.34495,-0.134309,-0.308164,1.395066,-0.99695,0.710307,2.37885,0.78533,-0.42455,2.27009,0.32676
59150673,0.518201,-1.270481,-0.404561,0.660126,-0.330251,0.898673,-0.941087,-0.613378,-0.455564,0.357486,1.652282,1.822522,-0.69646,0.28544,1.64213,1.18945
59150674,1.46624,-1.270481,-0.606725,-0.877326,-1.22702,1.454801,-0.223951,-1.567173,-0.811144,0.228492,0.868054,1.573282,-1.17332,0.29378,1.96491,-0.23177
59150675,-0.383661,-0.673479,1.758164,-0.449839,-0.275347,1.037274,-0.212918,-0.843605,-0.534582,1.862415,-0.476946,1.680427,-0.69275,1.94192,1.32619,-0.15482
59150676,0.249882,-0.62441,1.132887,-0.472339,-1.373431,0.93801,-0.648318,0.046942,-0.477559,-0.99695,0.927209,2.70317,-0.53262,0.3034,2.12672,1.19994
59150677,0.555219,-0.397089,-0.626011,-0.697332,-1.007403,1.212751,-0.642154,0.375743,0.21068,-0.99695,-0.078427,2.591893,-0.11108,-0.67743,1.98405,0.66828
59150678,-0.006635,0.960208,0.67817,-0.629834,-0.952499,0.702828,-0.564114,-0.890286,-0.527304,-0.00717,-0.424257,2.612565,-0.283,0.59138,1.81501,0.25729
59150679,-0.657968,-1.270481,2.117252,1.185109,0.621422,0.685655,-0.451456,2.104938,-0.253252,2.219835,-0.244062,0.725867,-0.25845,2.0201,0.44454,1.03586
59150680,0.199183,-0.768745,0.966045,0.705124,-1.172116,0.435354,-0.564114,-0.198685,-0.811144,0.432732,0.827949,1.252509,-0.80772,1.17899,1.16196,0.57096
59150681,0.415394,-0.363497,0.567159,-0.389841,-1.062308,0.308734,0.478843,-0.727834,-0.811144,-0.99695,0.66341,1.107585,-0.40423,0.27728,1.0251,-0.00449
59150682,0.223314,-0.563034,1.040313,-0.224847,-0.897595,0.500345,-0.741097,-0.462779,-0.469337,-0.192754,1.814536,2.299018,-0.69709,0.58033,1.81513,1.51913
59150683,0.519404,-1.270481,0.24704,-0.817328,-0.641375,0.96221,-0.941087,-0.308164,-0.811144,0.322756,0.117794,2.338023,-1.06813,0.41128,1.68783,0.67837
59150684,-0.044358,-0.606211,0.874915,-0.11985,-0.714581,0.808303,0.220674,-0.443058,-0.075741,-0.99695,0.224447,1.561983,0.09345,0.22487,1.33474,0.1082
59150685,-0.060328,1.087676,0.645869,-0.637334,-0.623074,0.41014,0.422688,1.002234,0.643137,-0.52039,1.206083,2.240571,0.53613,0.04433,1.62926,1.42436
59150686,-0.281471,0.873298,0.711985,-0.862327,-1.044006,0.374687,-0.941087,0.400029,-0.811144,1.576478,-1.024909,2.465893,-0.90306,1.29625,1.31741,0.52483
59150687,-0.083197,0.579054,0.567159,-0.134849,-0.348553,0.098455,-0.625547,-0.567959,-0.811144,1.862415,0.276503,2.044069,-0.79207,1.4578,1.20552,0.70194
59150688,0.202236,-0.509785,-0.349043,-0.76483,-0.220443,-0.054063,-0.668024,-0.120036,-0.500012,-0.492357,0.879597,1.897091,-0.61252,-0.40878,0.96285,1.22494
59150689,-0.598903,1.041438,0.567159,1.095112,0.182188,0.339186,-0.025003,2.08213,-0.115278,1.453934,0.276503,1.29081,0.32596,1.14022,0.73529,1.35909
59150690,0.026978,-1.270481,-0.379148,-1.06482,-0.604772,0.63807,-0.622002,0.375743,0.097781,0.228492,-1.024909,2.044069,-0.57368,-0.05014,1.06815,0.12436
59150691,-0.851134,0.810246,1.121937,1.350104,-0.05573,-0.066435,0.977737,2.135797,0.914603,0.075311,1.493953,1.217914,1.15604,0.79152,0.77337,1.60395
59150692,0.168007,-0.165095,0.074644,0.135142,-0.568169,0.260395,0.161771,-0.213399,-0.496991,-0.217124,-1.024909,2.646675,0.00403,0.51328,1.46238,-0.14797
59150693,0.191492,-0.26701,0.386127,0.667625,-0.110634,0.438912,0.038175,0.930862,-0.253252,-0.99695,1.057351,2.345372,0.32077,-0.02211,1.58549,1.49257
59150694,-0.319106,1.238197,0.157007,0.090144,-0.513265,0.370618,-0.239887,1.055764,-0.012187,0.718669,0.394813,0.811464,0.0159,0.47674,0.63952,0.87965
59150695,0.143876,1.424556,0.182465,-0.382342,-0.897595,0.23053,-0.662669,0.340417,0.299171,-0.99695,0.146362,1.516788,0.25972,-0.48786,1.10564,0.7974
59150696,-0.000969,-1.270481,0.538873,0.105143,0.969149,0.386128,0.21804,-0.727834,-0.320875,-0.99695,0.394813,1.008339,0.22459,-0.23619,0.63267,0.33525
59150697,-0.49548,2.532998,0.746087,1.455101,1.463287,0.020453,-0.231122,0.340417,1.211215,-0.022167,0.42783,0.607623,1.76353,-0.10368,0.48544,1.05686
59150698,-0.11637,-0.029345,-0.066455,-0.352343,-0.000826,0.018071,-0.490316,-0.738878,0.472894,-0.24006,1.404394,1.541896,-0.00515,-0.27446,0.98279,1.11769
59150699,-0.691405,0.015787,0.579069,0.030145,0.85934,0.277877,-0.367378,0.111506,0.50958,-0.99695,0.61898,1.885488,0.71018,-0.51489,0.96167,1.36509
